text,label
人民币汇率升破6.3创近期新高,3
黄金价格突破2000美元每盎司避险情绪升温,3
深圳证券交易所推出创业板注册制改革,3
上海自贸区扩容新增临港片区,3
中国外汇储备突破3.2万亿美元稳居世界第一,3
茅台股价创历史新高市值突破3万亿,3
新能源汽车销量暴增比亚迪月销破30万辆,3
房地产市场回暖一线城市成交量上涨,3
中国进出口总额创新高贸易顺差扩大,3
人民币对美元汇率走强出口企业面临压力,3
全球芯片短缺缓解半导体行业回暖,3
中国外贸数据亮眼进出口总额同比增长,3
欧洲央行维持利率不变经济前景谨慎乐观,3
上证指数跌破2900点市场情绪低迷,3
人民币汇率升至6.3创近期新高,3
创业板指数大涨科技股领涨,3
北向资金净流入超百亿外资看好A股,3
科创板开市三周年上市公司超500家,3
新三板精选层转板制度落地,3
沪深300指数成分股调整,3
中证500指数期货上市交易,3
国债期货市场交易活跃,3
商品期货价格波动加剧,3
黄金期货价格创新高,3
原油期货价格大幅波动,3
铜价上涨工业金属需求旺盛,3
铁矿石价格回落钢铁行业承压,3
大豆期货价格上涨农产品涨价,3
玉米价格创新高粮食安全受关注,3
猪肉价格回落CPI涨幅收窄,3
蔬菜价格季节性上涨,3
水果价格同比下降,3
鸡蛋价格波动养殖户收益不稳,3
牛奶价格上涨乳制品行业景气,3
白酒股集体上涨消费复苏预期,3
医药股走强创新药获批,3
新能源板块大涨政策利好,3
芯片股集体反弹国产替代加速,3
军工股走强国防预算增加,3
银行股估值修复业绩稳健,3
保险股上涨保费收入增长,3
券商股活跃市场交易量放大,3
房地产股分化政策影响,3
北京今日最高气温达35度发布高温橙色预警,4
台风烟花登陆浙江多地暴雨,4
四川发生6.0级地震暂无人员伤亡报告,4
南方多省遭遇洪涝灾害紧急转移群众10万人,4
北方地区迎来今冬首场降雪气温骤降10度,4
河南暴雨引发洪涝郑州地铁停运,4
云南发生森林火灾消防紧急扑救,4
长江流域进入汛期多地启动防汛预案,4
北京空气质量达优良PM2.5浓度创新低,4
新疆发生雪崩救援队伍紧急出动,4
广东遭遇强对流天气多地冰雹大风,4
内蒙古草原火灾得到控制无人员伤亡,4
西藏发生泥石流道路中断交通管制,4
东北三省气温骤降最低温达零下30度,4
海南台风预警升级渔船全部回港避风,4
山东多地遭遇暴雪高速公路临时封闭,4
青海发生7.4级地震救援工作全面展开,4
湖南遭遇持续高温用电负荷创历史新高,4
甘肃突发山洪武警官兵紧急救援,4
全国大部分地区迎来降温注意防寒保暖,4
长江流域发生严重干旱多地启动应急响应,4
黄河流域水资源紧张节水措施加强,4
珠江流域汛期来临防洪形势严峻,4
淮河流域降雨偏多防汛压力大,4
松花江流域春季融雪防凌汛,4
辽河流域水污染治理见成效,4
海河流域生态补水工程启动,4
太湖流域蓝藻治理取得进展,4
巢湖流域水环境综合治理,4
滇池流域生态修复工程推进,4
洱海流域保护治理成效显著,4
青海湖水位持续上涨生态好转,4
鄱阳湖候鸟栖息地保护加强,4
洞庭湖湿地生态修复工程,4
呼伦湖水质改善生态恢复,4
乌梁素海治理工程取得成效,4
南水北调工程调水量突破500亿立方米,4
三峡工程防洪效益显著,4
小浪底水库调水调沙,4
丹江口水库水质保持优良,4
新安江水库生态补偿机制,4
千岛湖水质保护措施加强,4
太湖流域防洪工程建设,4
长江大保护工程推进,4
黄河流域生态保护和高质量发展,4
京津冀协同发展生态环境改善,4
长三角一体化发展生态共保,4
粤港澳大湾区环境治理合作,4
成渝地区双城经济圈生态建设,4
黄河几字弯生态治理工程,4
教育部发布双减政策减轻学生课业负担,5
新冠疫苗接种突破10亿剂次群体免疫屏障初步建立,5
国家出台房地产调控新政坚持房住不炒,5
最高法发布司法解释加强知识产权保护,5
全国人大通过个人信息保护法维护公民隐私权,
务院发布十四五规划纲要明确发展目标,5
外交部回应中美关系强调合作共赢,5
全国两会在北京召开审议政府工作报告,5
中央一号文件发布聚焦乡村振兴战略,5
国家医保局调整药品目录惠及亿万患者,5
公安部开展扫黑除恶专项行动成效显著,5
生态环境部发布碳达峰行动方案,5
民政部推进养老服务体系建设,5
交通运输部发布春运方案预计客流量创新高,5
国家发改委批复多个重大基础设施项目,5
国家卫健委发布健康中国行动计划,5
最高检发布未成年人保护典型案例,5
中央政法委部署平安中国建设,5
国家税务总局推出减税降费新举措,5
新学期开学各地学校严格落实疫情防控措施,5
国家发改委公布碳达峰行动方案推动绿色发展,5
全国人大常委会通过反外国制裁法,5
国务院办公厅印发关于进一步优化营商环境的意见,5
中央深改委会议审议通过多项改革方案,5
全国政协召开双周协商座谈会,5
最高人民法院发布司法改革白皮书,5
最高人民检察院部署公益诉讼工作,5
司法部推进公共法律服务体系建设,5
国家监委通报反腐败工作进展,5
中央纪委国家监委公开曝光违纪违法案件,5
中央组织部部署干部选拔任用工作,5
中央宣传部开展主题教育活动,5
中央统战部召开民主党派座谈会,5
全国工商联发布民营企业500强榜单,5
共青团中央启动青年志愿服务活动,5
全国妇联开展妇女权益保护工作,5
中国残联推进残疾人事业发展,5
中国科协举办全国科技工作者日活动,5
中国文联组织文艺工作者下基层,5
中国作协评选茅盾文学奖,5
中国记协开展新闻工作者培训,5
中华全国总工会维护职工合法权益,5
中国红十字会开展人道救助工作,5
中国慈善联合会发布慈善事业报告,5
国家乡村振兴局部署巩固脱贫攻坚成果,5
国家民委推进民族团结进步事业,5
国家宗教事务局规范宗教活动场所管理,5
国家信访局畅通群众诉求渠道,5
国家档案局加强档案资源建设,5
国家保密局开展保密宣传教育,5
国家密码管理局推进商用密码应用,5
